Typ usługi,Rodzaj usługi (Budżet),Odległość,Termin wykonania,Opis zadania,Link do zdjęcia
Sprzątająca,Premium ($$$),8 km,2026-01-24,Doczyszczanie posadzek przemysłowych,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),19 km,2026-01-30,Naprawa spłuczki podtynkowej,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),20 km,2026-02-05,Pranie dywanów metodą ekstrakcyjną,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),26 km,2026-01-18,Budowa ścianki działowej z płyt G-K,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),24 km,2026-02-22,Pranie dywanów metodą ekstrakcyjną,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Sprzątająca,Budget ($),22 km,2026-02-15,Odkurzanie i mycie podłóg,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),6 km,2026-03-10,Grabienie liści,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),16 km,2026-02-07,Konsultacja ortodontyczna,https://images.unsplash.com/photo-1598256989800-fe5f95da9787?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),19 km,2026-02-10,Układanie paneli podłogowych,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),7 km,2026-02-07,Wycinka starego drzewa (metoda alpinistyczna),https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),22 km,2026-02-09,Instalacja inteligentnego domu (Smart Home),https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),3 km,2026-01-29,Wymiana rozrządu w silniku Diesla,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),16 km,2026-02-21,Wymiana żarówek w witrynie sklepowej,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),12 km,2026-02-16,Wybielanie zębów,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),6 km,2026-01-13,Wymiana syfonu w zlewie,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),8 km,2026-03-05,Przewóz motocykla na lawecie,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
IT i Grafika,Budget ($),2 km,2026-01-28,Usunięcie wirusów z laptopa,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),14 km,2026-01-26,Strona wizytówka na WordPress,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),26 km,2026-02-12,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Sprzątająca,Budget ($),20 km,2026-01-23,Odkurzanie i mycie podłóg,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),24 km,2026-01-18,Wycinka starego drzewa (metoda alpinistyczna),https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),29 km,2026-02-19,Dostarczenie palety towaru,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Florystyczna,Budget ($),27 km,2026-01-25,Wiązanka okolicznościowa,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),13 km,2026-02-23,Naprawa błędu w sklepie online,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),3 km,2026-01-21,Naprawa zerwanego kabla zasilającego,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),2 km,2026-01-21,Dekoracja kościoła na ślub,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),26 km,2026-01-15,Doczyszczanie posadzek przemysłowych,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),11 km,2026-02-28,Edycja 20 zdjęć produktowych,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),18 km,2026-03-04,Transport kanapy z wniesieniem,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Budowlana,Budget ($),22 km,2026-01-13,Wiercenie otworów w betonie pod półki,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),3 km,2026-01-25,Stworzenie aplikacji mobilnej MVP,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),14 km,2026-03-05,Podłączenie pralki,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),22 km,2026-02-27,Skuwanie starych płytek,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),13 km,2026-02-03,Licówki porcelanowe (2 sztuki),https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),2 km,2026-02-23,Wywiezienie odpadów zielonych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),30 km,2026-02-27,Naprawa zerwanego kabla zasilającego,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),5 km,2026-02-13,Wymiana uszczelki w kranie kuchennym,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),3 km,2026-01-26,Transport pianina lub instrumentów,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Budowlana,Standard ($$),6 km,2026-03-06,Tynkowanie dekoracyjne jednej ściany,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),9 km,2026-01-18,Wybielanie zębów,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),10 km,2026-03-09,Montaż systemu nawadniania,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),19 km,2026-02-18,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),8 km,2026-03-02,Wymiana licznika wody,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),26 km,2026-01-12,Kompleksowe wykończenie łazienki,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),9 km,2026-02-19,Konfiguracja sieci Wi-Fi w biurze,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),23 km,2026-01-26,Opryski przeciw szkodnikom,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),2 km,2026-02-25,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),16 km,2026-02-07,Dostarczenie palety towaru,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Motoryzacyjna,Budget ($),18 km,2026-02-16,Wymiana akumulatora z dojazdem,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),4 km,2026-03-11,Przygotowanie bukietu ślubnego,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),29 km,2026-01-15,Doczyszczanie posadzek przemysłowych,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),11 km,2026-02-27,Wymiana skrzynki bezpiecznikowej,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),21 km,2026-01-22,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),17 km,2026-03-03,Wymiana uszczelki w kranie kuchennym,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),14 km,2026-01-24,Proteza częściowa osiadająca,https://images.unsplash.com/photo-1598256989800-fe5f95da9787?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),7 km,2026-01-29,Podłączenie pralki,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),10 km,2026-01-16,Naprawa błędu w sklepie online,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),7 km,2026-02-04,Udrożnienie rur w łazience,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),15 km,2026-01-20,Pielęgnacja roślin w biurze,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),23 km,2026-02-22,Gruntowne sprzątanie po remoncie,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Sprzątająca,Budget ($),21 km,2026-02-20,Mycie witryny sklepowej (mała),https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),6 km,2026-02-04,Montaż instalacji wodnej w nowej kuchni,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),8 km,2026-02-11,Montaż systemu nawadniania,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),29 km,2026-02-25,Sprzątanie po imprezie okolicznościowej,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),25 km,2026-02-07,Wniesienie lodówki na 4 piętro,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
IT i Grafika,Premium ($$$),25 km,2026-02-11,Pozycjonowanie strony lokalnej (SEO),https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),30 km,2026-01-31,Doczyszczanie posadzek przemysłowych,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
